Designator,Mid X,Mid Y,Layer,Rotation
C1, 32.38, 26.03, Top, 135 
C2,  8.89, 17.78, Top, 180
Q1, 11.43, 39.37, Top, 270
Q2, 11.43, 49.28, Top, 270 
R1, 11.43, 33.91, Top, 180 
R2, 11.43, 35.81, Top,   0 
R3, 11.43, 43.82, Top, 180 
R4, 11.43, 45.72, Top,   0 
R5, 39.37, 29.85, Top,  90 
R6, 37.47, 29.85, Top,  90 
R7, 35.56, 29.85, Top,  90 
R8, 33.02, 30.48, Top, 180 
R9, 29.85, 30.48, Top, 180 
R10, 26.67, 30.48, Top,   0
R11, 23.50, 30.48, Top, 180
R12, 20.32, 30.48, Top, 180
R13, 13.97, 12.70, Top,  90
R14, 16.51, 12.70, Top,  90
R15, 19.05, 12.70, Top,  90
R16, 21.59, 12.70, Top,  90
R17, 24.77, 12.70, Top,  90
R18, 27.30, 12.70, Top,  90
R19, 30.48, 12.70, Top,  90
R20, 33.02, 12.70, Top,  90
R21, 38.10, 12.70, Top,  90
R22, 40.64, 12.70, Top,  90
U1, 27.94, 21.59, Top, 135
